symbol,direction,sell_venue,buy_venue,notional_usd,quantity,common_step,step_origin,arrival_seq,session_id,ts_utc,sell_vwap,buy_vwap,reference_price,fill_usd_est,gross_entry_bps,entry_fees_bps,entry_after_fees_bps,entry_after_fees_and_reserve_bps,exit_fee_assumption_bps,reserve_bps,funding_estimate_bps,funding_status,quality_ok,cost_qualified,mapping_verified,mapping_status,reject_reason,executable,receive_age_sell_ms,receive_age_buy_ms,event_skew_ms,event_age_sell_ms,event_age_buy_ms,event_age_status,clock_offset_unknown,exit_status,note
NVDA,HL>ONDO,HL,ONDO,100,0.450,0.010,instrument_metadata,103,20260919T093133Z-1980d7eb74f6,2026-09-19T09:31:58.842Z,222.090,222.01,222.045,99.940500,3.602873291449931320227881736,3.40,0.202873291449931320227881736,-4.797126708550068679772118264,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,0,250,7.495424,1545.025964,1552.521388,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,500,2.250,0.010,instrument_metadata,103,20260919T093133Z-1980d7eb74f6,2026-09-19T09:31:58.842Z,222.090,222.01,222.045,499.702500,3.602873291449931320227881736,3.40,0.202873291449931320227881736,-4.797126708550068679772118264,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,0,250,7.495424,1545.025964,1552.521388,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,1000,4.500,0.010,instrument_metadata,103,20260919T093133Z-1980d7eb74f6,2026-09-19T09:31:58.842Z,222.090,222.01,222.045,999.405000,3.602873291449931320227881736,3.40,0.202873291449931320227881736,-4.797126708550068679772118264,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,0,250,7.495424,1545.025964,1552.521388,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,100,0.450,0.010,instrument_metadata,104,20260919T093133Z-1980d7eb74f6,2026-09-19T09:31:58.841Z,222.090,222.01,222.045,99.940500,3.602873291449931320227881736,3.40,0.202873291449931320227881736,-4.797126708550068679772118264,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,0,0,248.506526,1544.985064,1296.478538,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,500,2.250,0.010,instrument_metadata,104,20260919T093133Z-1980d7eb74f6,2026-09-19T09:31:58.841Z,222.090,222.01,222.045,499.702500,3.602873291449931320227881736,3.40,0.202873291449931320227881736,-4.797126708550068679772118264,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,0,0,248.506526,1544.985064,1296.478538,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,1000,4.500,0.010,instrument_metadata,104,20260919T093133Z-1980d7eb74f6,2026-09-19T09:31:58.841Z,222.090,222.01,222.045,999.405000,3.602873291449931320227881736,3.40,0.202873291449931320227881736,-4.797126708550068679772118264,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,0,0,248.506526,1544.985064,1296.478538,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,100,0.450,0.010,instrument_metadata,105,20260919T093133Z-1980d7eb74f6,2026-09-19T09:31:58.917Z,222.090,222.01,222.045,99.940500,3.602873291449931320227881736,3.40,0.202873291449931320227881736,-4.797126708550068679772118264,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,78,78,248.506526,1620.784064,1372.277538,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,500,2.250,0.010,instrument_metadata,105,20260919T093133Z-1980d7eb74f6,2026-09-19T09:31:58.917Z,222.090,222.01,222.045,499.702500,3.602873291449931320227881736,3.40,0.202873291449931320227881736,-4.797126708550068679772118264,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,78,78,248.506526,1620.784064,1372.277538,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,1000,4.500,0.010,instrument_metadata,105,20260919T093133Z-1980d7eb74f6,2026-09-19T09:31:58.917Z,222.090,222.01,222.045,999.405000,3.602873291449931320227881736,3.40,0.202873291449931320227881736,-4.797126708550068679772118264,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,78,78,248.506526,1620.784064,1372.277538,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,100,0.450,0.010,instrument_metadata,137,20260919T093133Z-1980d7eb74f6,2026-09-19T09:32:04.149Z,222.0874666666666666666666667,222.00,222.040,99.93936000000000000000000002,3.939230168738365459676936588,3.40,0.539230168738365459676936588,-4.460769831261634540323063412,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,0,171,56.545076,1524.786064,1468.240988,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,500,2.250,0.010,instrument_metadata,137,20260919T093133Z-1980d7eb74f6,2026-09-19T09:32:04.149Z,222.0814933333333333333333333,222.00,222.040,499.6833599999999999999999999,3.670209571848916111211191677,3.40,0.270209571848916111211191677,-4.729790428151083888788808323,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,0,171,56.545076,1524.786064,1468.240988,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
NVDA,HL>ONDO,HL,ONDO,1000,4.500,0.010,instrument_metadata,137,20260919T093133Z-1980d7eb74f6,2026-09-19T09:32:04.149Z,222.0807466666666666666666667,222.00,222.040,999.3633600000000000000000002,3.636581997237734942652976941,3.40,0.236581997237734942652976941,-4.763418002762265057347023059,3.40,5.0,-0.00050000,observed,true,true,false,mapping_unverified,,false,0,171,56.545076,1524.786064,1468.240988,not_checked,true,unclosed,"the multiplier / settlement-asset / underlying equivalence of this pair is not verified anywhere in this repository (plan 5.2), so the row is a nominal comparison and never an executable conclusion"
